SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM1,,3:25,AM,deer/racoons,2,0,1,
PM1,,3:26,AM,deer/racoons,2,0,1,
PM1,,3:27,AM,deer/racoons,1,0,0,
PM1,,3:28,AM,deer/racoons,1,0,0,
PM1,,3:30,AM,deer/racoons,1,0,0,
PM1,,3:31,AM,deer/racoons,1,0,0,
PM1,,3:32,AM,deer/racoons,1,0,0,
PM1,,3:33,AM,deer/racoons,1,0,0,
PM1,,7:23,AM,deer,1,0,1,
PM1,,7:24,AM,deer,2,0,1,
PM1,,7:25,AM,deer,2,0,1,
PM1,,7:26,AM,deer,2,0,1,
PM1,,7:27,AM,deer,2,0,1,
PM1,,7:28,AM,deer,3,0,1,
PM1,,7:29,AM,deer,3,0,1,
PM1,,7:30,AM,deer,2,0,1,
PM1,,7:31,AM,deer,1,0,0,
PM1,,7:32,AM,deer,2,0,1,
PM1,,7:33,AM,deer,2,0,1,
PM1,,7:34,AM,deer,1,0,0,
PM1,,7:35,AM,deer,1,0,0,
PM1,,7:37,AM,deer,1,0,0,
PM1,,7:38,AM,deer,1,0,0,
PM1,,7:39,AM,deer,1,0,0,
PM1,,9:00,AM,deer,2,0,1,
PM1,,9:01,AM,deer,2,0,1,
PM1,,9:02,AM,deer,2,0,1,
PM1,,9:03,AM,deer,3,0,1,
PM1,,9:04,AM,deer,3,0,1,
PM1,,9:05,AM,deer,2,0,0,
PM1,,9:06,AM,deer,3,0,1,
PM1,,9:07,AM,deer,4,0,1,
PM1,,9:07,AM,deer,3,0,1,
PM1,,9:08,AM,deer,4,0,1,
PM1,,9:08,AM,deer,3,0,1,
PM1,,9:09,AM,deer,3,0,0,
PM1,,9:10,AM,deer,3,0,0,
PM1,,9:11,AM,deer,1,0,0,
PM1,,10:20,AM,deer,1,0,1,
PM1,,10:21,AM,deer,1,0,0,
PM1,,10:22,AM,deer,1,0,0,
PM1,,10:23,AM,deer,3,0,1,
PM1,,10:24,AM,deer,3,0,1,
PM1,,10:25,AM,deer,2,0,0,
PM1,,10:26,AM,deer,2,0,0,
PM1,,10:27,AM,deer,1,0,0,
PM1,,10:28,AM,deer,1,0,0,
PM1,,10:29,AM,deer,1,0,0,
PM1,,10:30,AM,deer,1,0,0,
PM1,,11:32,AM,deer,1,0,0,
PM1,,7:22,PM,deer,1,0,0,
PM1,,2:24,PM,deer,2,0,1,
PM1,,7:25,PM,deer,2,0,1,
PM1,,7:26,PM,deer,2,0,1,
PM1,,7:27,PM,deer,2,0,1,
PM1,,7:28,PM,deer,2,0,1,
PM1,,7:29,PM,deer,2,0,1,
PM1,,7:30,PM,deer,1,0,1,
PM1,,7:21,PM,deer,2,0,1,
PM1,,7:32,PM,deer,2,0,1,
PM1,,7:33,PM,deer,2,0,1,
PM1,,7:34,PM,deer,2,0,1,
PM1,,7:36,PM,deer,2,0,1,
PM1,10/11,4:16,AM,racoons,0,0,0,
PM1,,4:18,AM,racoons,0,0,0,
PM1,,4:24,PM,deer,1,0,0,
PM1,,4:25,PM,deer,1,0,0,
PM1,,4:26,PM,deer,1,0,0,
PM1,,4:27,PM,deer,2,0,0,
PM1,,4:28,PM,deer,2,0,0,
PM1,,4:29,PM,deer,3,0,0,
PM1,,4:30,PM,deer,2,0,1,
PM1,,4:31,PM,deer,2,0,1,
PM1,,4:32,PM,deer,4,0,1,
PM1,,4:33,PM,deer,4,0,1,
PM1,,4:34,PM,deer,3,0,1,
PM1,,4:34,PM,deer,3,0,1,
PM1,,4:35,PM,deer,2,0,0,
PM1,,4:36,PM,deer,3,0,0,
PM1,,4:37,PM,deer,4,0,1,
PM1,,4:38,PM,deer,3,0,0,
PM1,,4:39,PM,deer,3,0,1,
PM1,,4:40,PM,deer,2,0,0,
PM1,,4:41,PM,deer,3,0,0,
PM1,,4:41,PM,deer,3,0,1,
PM1,,4:42,PM,deer,3,0,1,
PM1,,4:43,PM,deer,2,0,0,
PM1,,4:44,PM,deer,2,0,0,
PM1,,4:46,PM,deer,2,0,0,
PM1,,4:47,PM,deer,2,0,0,
PM1,,4:48,PM,deer,2,0,0,
PM1,,4:49,PM,deer,2,0,0,
PM1,,4:50,PM,deer,2,0,0,
PM1,,4:51,PM,deer,2,0,0,
